Series ID,Units,Gender,Age [years],Disability,Race,Industry and Class of Worker,Educational Attainment,Occupation,Veteran Status,Period of Service,Nativity,Metric,Series Description
LNU03000000,Thousands of Persons,All,All,All,All,All,All,All,All,All,All,level,All/All/All/All/All/All/All/All/All/All
UNRATENSA,Percent,All,All,All,All,All,All,All,All,All,All,rate,All/All/All/All/All/All/All/All/All/All
CGBD16O,Percent,All,≥16,All,All,All,Bachelor's Degree,All,All,All,All,rate,All/≥16/All/All/All/Bachelor's Degree/All/All/All/All
CGBDU16O,Thousands of Persons,All,≥16,All,All,All,Bachelor's Degree,All,All,All,All,level,All/≥16/All/All/All/Bachelor's Degree/All/All/All/All
CGDD16O,Percent,All,≥16,All,All,All,Doctoral Degree,All,All,All,All,rate,All/≥16/All/All/All/Doctoral Degree/All/All/All/All
CGDDU16O,Thousands of Persons,All,≥16,All,All,All,Doctoral Degree,All,All,All,All,level,All/≥16/All/All/All/Doctoral Degree/All/All/All/All
HSGS16O,Percent,All,≥16,All,All,All,"High School Graduates, No College",All,All,All,All,rate,"All/≥16/All/All/All/High School Graduates, No College/All/All/All/All"
HSGSU16O,Thousands of Persons,All,≥16,All,All,All,"High School Graduates, No College",All,All,All,All,level,"All/≥16/All/All/All/High School Graduates, No College/All/All/All/All"
LHSD16O,Percent,All,≥16,All,All,All,Less than a High School Diploma,All,All,All,All,rate,All/≥16/All/All/All/Less than a High School Diploma/All/All/All/All
LHSDU16O,Thousands of Persons,All,≥16,All,All,All,Less than a High School Diploma,All,All,All,All,level,All/≥16/All/All/All/Less than a High School Diploma/All/All/All/All
CGMD16O,Percent,All,≥16,All,All,All,Master's Degree,All,All,All,All,rate,All/≥16/All/All/All/Master's Degree/All/All/All/All
CGMDU16O,Thousands of Persons,All,≥16,All,All,All,Master's Degree,All,All,All,All,level,All/≥16/All/All/All/Master's Degree/All/All/All/All
CGBD16OM,Percent,Men,≥16,All,All,All,Bachelor's Degree,All,All,All,All,rate,Men/≥16/All/All/All/Bachelor's Degree/All/All/All/All
CGBDUM16O,Thousands of Persons,Men,≥16,All,All,All,Bachelor's Degree,All,All,All,All,level,Men/≥16/All/All/All/Bachelor's Degree/All/All/All/All
CGDD16OM,Percent,Men,≥16,All,All,All,Doctoral Degree,All,All,All,All,rate,Men/≥16/All/All/All/Doctoral Degree/All/All/All/All
CGDDUM16O,Thousands of Persons,Men,≥16,All,All,All,Doctoral Degree,All,All,All,All,level,Men/≥16/All/All/All/Doctoral Degree/All/All/All/All
HSGS16OM,Percent,Men,≥16,All,All,All,"High School Graduates, No College",All,All,All,All,rate,"Men/≥16/All/All/All/High School Graduates, No College/All/All/All/All"
HSGSUM16O,Thousands of Persons,Men,≥16,All,All,All,"High School Graduates, No College",All,All,All,All,level,"Men/≥16/All/All/All/High School Graduates, No College/All/All/All/All"
CGMD16OM,Percent,Men,≥16,All,All,All,Master's Degree,All,All,All,All,rate,Men/≥16/All/All/All/Master's Degree/All/All/All/All
CGMDUM16O,Thousands of Persons,Men,≥16,All,All,All,Master's Degree,All,All,All,All,level,Men/≥16/All/All/All/Master's Degree/All/All/All/All
CGPD16OM,Percent,Men,≥16,All,All,All,Professional Degree,All,All,All,All,rate,Men/≥16/All/All/All/Professional Degree/All/All/All/All
CGPDUM16O,Thousands of Persons,Men,≥16,All,All,All,Professional Degree,All,All,All,All,level,Men/≥16/All/All/All/Professional Degree/All/All/All/All
SCAD16OM,Percent,Men,≥16,All,All,All,Some College or Associate Degree,All,All,All,All,rate,Men/≥16/All/All/All/Some College or Associate Degree/All/All/All/All
SCADUM16O,Thousands of Persons,Men,≥16,All,All,All,Some College or Associate Degree,All,All,All,All,level,Men/≥16/All/All/All/Some College or Associate Degree/All/All/All/All
CGPD16O,Percent,All,≥16,All,All,All,Professional Degree,All,All,All,All,rate,All/≥16/All/All/All/Professional Degree/All/All/All/All
CGPDU16O,Thousands of Persons,All,≥16,All,All,All,Professional Degree,All,All,All,All,level,All/≥16/All/All/All/Professional Degree/All/All/All/All
SCAD16O,Percent,All,≥16,All,All,All,Some College or Associate Degree,All,All,All,All,rate,All/≥16/All/All/All/Some College or Associate Degree/All/All/All/All
SCADU16O,Thousands of Persons,All,≥16,All,All,All,Some College or Associate Degree,All,All,All,All,level,All/≥16/All/All/All/Some College or Associate Degree/All/All/All/All
LNU03074597,Thousands of Persons,All,≥16,With a Disability,All,All,All,All,All,All,All,level,All/≥16/With a Disability/All/All/All/All/All/All/All
LNU04074597,Percent,All,≥16,With a Disability,All,All,All,All,All,All,All,rate,All/≥16/With a Disability/All/All/All/All/All/All/All
LNU03074593,Thousands of Persons,All,≥16,With No Disability,All,All,All,All,All,All,All,level,All/≥16/With No Disability/All/All/All/All/All/All/All
LNU04074593,Percent,All,≥16,With No Disability,All,All,All,All,All,All,All,rate,All/≥16/With No Disability/All/All/All/All/All/All/All
CGBD16OW,Percent,Women,≥16,All,All,All,Bachelor's Degree,All,All,All,All,rate,Women/≥16/All/All/All/Bachelor's Degree/All/All/All/All
CGBDUW16O,Thousands of Persons,Women,≥16,All,All,All,Bachelor's Degree,All,All,All,All,level,Women/≥16/All/All/All/Bachelor's Degree/All/All/All/All
CGDD16OW,Percent,Women,≥16,All,All,All,Doctoral Degree,All,All,All,All,rate,Women/≥16/All/All/All/Doctoral Degree/All/All/All/All
CGDDUW16O,Thousands of Persons,Women,≥16,All,All,All,Doctoral Degree,All,All,All,All,level,Women/≥16/All/All/All/Doctoral Degree/All/All/All/All
HSGS16OW,Percent,Women,≥16,All,All,All,"High School Graduates, No College",All,All,All,All,rate,"Women/≥16/All/All/All/High School Graduates, No College/All/All/All/All"
HSGSUW16O,Thousands of Persons,Women,≥16,All,All,All,"High School Graduates, No College",All,All,All,All,level,"Women/≥16/All/All/All/High School Graduates, No College/All/All/All/All"
LHSD16OW,Percent,Women,≥16,All,All,All,Less than a High School Diploma,All,All,All,All,rate,Women/≥16/All/All/All/Less than a High School Diploma/All/All/All/All
LHSDUW16O,Thousands of Persons,Women,≥16,All,All,All,Less than a High School Diploma,All,All,All,All,level,Women/≥16/All/All/All/Less than a High School Diploma/All/All/All/All
CGMD16OW,Percent,Women,≥16,All,All,All,Master's Degree,All,All,All,All,rate,Women/≥16/All/All/All/Master's Degree/All/All/All/All
CGMDUW16O,Thousands of Persons,Women,≥16,All,All,All,Master's Degree,All,All,All,All,level,Women/≥16/All/All/All/Master's Degree/All/All/All/All
CGPD16OW,Percent,Women,≥16,All,All,All,Professional Degree,All,All,All,All,rate,Women/≥16/All/All/All/Professional Degree/All/All/All/All
CGPDUW16O,Thousands of Persons,Women,≥16,All,All,All,Professional Degree,All,All,All,All,level,Women/≥16/All/All/All/Professional Degree/All/All/All/All
SCAD16OW,Percent,Women,≥16,All,All,All,Some College or Associate Degree,All,All,All,All,rate,Women/≥16/All/All/All/Some College or Associate Degree/All/All/All/All
SCADUW16O,Thousands of Persons,Women,≥16,All,All,All,Some College or Associate Degree,All,All,All,All,level,Women/≥16/All/All/All/Some College or Associate Degree/All/All/All/All
LNU04049526,Percent,All,≥18,All,All,All,All,All,Total Veterans,All,All,rate,All/≥18/All/All/All/All/All/Total Veterans/All/All
LNU04049527,Percent,Men,≥18,All,All,All,All,All,Total Veterans,All,All,rate,Men/≥18/All/All/All/All/All/Total Veterans/All/All
