series_id,metric,status,warning,expected_obs_count,actual_obs_count,count_match,rows_inserted,fred_message
LNU03000000,level,ok,,939,939,TRUE,939,
UNRATENSA,rate,ok,,939,939,TRUE,939,
CGBD16O,rate,ok,,315,315,TRUE,315,
CGBDU16O,level,ok,,315,315,TRUE,315,
CGDD16O,rate,ok,,315,315,TRUE,315,
CGDDU16O,level,ok,,315,315,TRUE,315,
HSGS16O,rate,ok,,315,315,TRUE,315,
HSGSU16O,level,ok,,315,315,TRUE,315,
LHSD16O,rate,ok,,315,315,TRUE,315,
LHSDU16O,level,ok,,315,315,TRUE,315,
CGMD16O,rate,ok,,315,315,TRUE,315,
CGMDU16O,level,ok,,315,315,TRUE,315,
CGBD16OM,rate,ok,,315,315,TRUE,315,
CGBDUM16O,level,ok,,315,315,TRUE,315,
CGDD16OM,rate,ok,,315,315,TRUE,315,
CGDDUM16O,level,ok,,315,315,TRUE,315,
HSGS16OM,rate,ok,,315,315,TRUE,315,
HSGSUM16O,level,ok,,315,315,TRUE,315,
CGMD16OM,rate,ok,,315,315,TRUE,315,
CGMDUM16O,level,ok,,315,315,TRUE,315,
CGPD16OM,rate,ok,,315,315,TRUE,315,
CGPDUM16O,level,ok,,315,315,TRUE,315,
SCAD16OM,rate,ok,,315,315,TRUE,315,
SCADUM16O,level,ok,,315,315,TRUE,315,
CGPD16O,rate,ok,,315,315,TRUE,315,
CGPDU16O,level,ok,,315,315,TRUE,315,
SCAD16O,rate,ok,,315,315,TRUE,315,
SCADU16O,level,ok,,315,315,TRUE,315,
LNU03074597,level,ok,,214,214,TRUE,214,
LNU04074597,rate,ok,,214,214,TRUE,214,
LNU03074593,level,ok,,214,214,TRUE,214,
LNU04074593,rate,ok,,214,214,TRUE,214,
CGBD16OW,rate,ok,,315,315,TRUE,315,
CGBDUW16O,level,ok,,315,315,TRUE,315,
CGDD16OW,rate,ok,,315,315,TRUE,315,
CGDDUW16O,level,ok,,315,315,TRUE,315,
HSGS16OW,rate,ok,,315,315,TRUE,315,
HSGSUW16O,level,ok,,315,315,TRUE,315,
LHSD16OW,rate,ok,,315,315,TRUE,315,
LHSDUW16O,level,ok,,315,315,TRUE,315,
CGMD16OW,rate,ok,,315,315,TRUE,315,
CGMDUW16O,level,ok,,315,315,TRUE,315,
CGPD16OW,rate,ok,,315,315,TRUE,315,
CGPDUW16O,level,ok,,315,315,TRUE,315,
SCAD16OW,rate,ok,,315,315,TRUE,315,
SCADUW16O,level,ok,,315,315,TRUE,315,
LNU04049526,rate,ok,,315,315,TRUE,315,
LNU04049527,rate,ok,,315,315,TRUE,315,
LNU03049602,level,ok,,315,315,TRUE,315,
LNU04049602,rate,ok,,315,315,TRUE,315,
LNU03049527,level,ok,,315,315,TRUE,315,
LNU03066420,level,ok,,211,211,TRUE,211,
LNU04066420,rate,ok,,211,211,TRUE,211,
LNU03066413,level,ok,,243,243,TRUE,243,
LNU04066413,rate,ok,,243,243,TRUE,243,
LNU03049587,level,ok,,239,239,TRUE,239,
LNU04049587,rate,ok,,239,239,TRUE,239,
LNU03073765,level,ok,,211,211,TRUE,211,
LNU04073765,rate,ok,,211,211,TRUE,211,
LNU03049601,level,ok,,315,315,TRUE,315,
LNU04049601,rate,ok,,315,315,TRUE,315,
LNU03049526,level,ok,,315,315,TRUE,315,
LNU03066415,level,ok,,211,211,TRUE,211,
LNU04066415,rate,ok,,211,211,TRUE,211,
LNU03049586,level,ok,,239,239,TRUE,239,
LNU04049586,rate,ok,,239,239,TRUE,239,
LNU03077884,level,ok,,211,211,TRUE,211,
LNU04077884,rate,ok,,211,211,TRUE,211,
LNU04049528,rate,ok,,315,315,TRUE,315,
LNU03049603,level,ok,,315,315,TRUE,315,
LNU04049603,rate,ok,,315,315,TRUE,315,
LNU03049528,level,ok,,315,315,TRUE,315,
LNU03066421,level,ok,,211,211,TRUE,211,
LNU04066421,rate,ok,,211,211,TRUE,211,
LNU03066414,level,ok,,243,243,TRUE,243,
LNU04066414,rate,ok,,243,243,TRUE,243,
LNU03049588,level,ok,,239,239,TRUE,239,
LNU04049588,rate,ok,,239,239,TRUE,239,
LNU03073766,level,ok,,211,211,TRUE,211,
LNU04073766,rate,ok,,128,128,TRUE,128,
TOTLU1617,level,ok,,315,315,TRUE,315,
TOTLUM1617,level,ok,,315,315,TRUE,315,
LNU03000031,level,ok,,651,651,TRUE,651,
LNU04000031,rate,ok,,651,651,TRUE,651,
LNU03000034,level,ok,,598,598,TRUE,598,
LNU04000034,rate,ok,,598,598,TRUE,598,
LNU03000028,level,ok,,867,867,TRUE,867,
LNU04000028,rate,ok,,867,867,TRUE,867,
TOTLUW1617,level,ok,,315,315,TRUE,315,
LNU03000032,level,ok,,651,651,TRUE,651,
LNU04000032,rate,ok,,651,651,TRUE,651,
LNU03000035,level,ok,,598,598,TRUE,598,
LNU04000035,rate,ok,,598,598,TRUE,598,
LNU03000029,level,ok,,867,867,TRUE,867,
LNU04000029,rate,ok,,867,867,TRUE,867,
TOTLU1819,level,ok,,315,315,TRUE,315,
TOTLUM1819,level,ok,,315,315,TRUE,315,
TOTLUW1819,level,ok,,315,315,TRUE,315,
TOTLUM2024,level,ok,,315,315,TRUE,315,
TOTLUW2024,level,ok,,315,315,TRUE,315,
CGBD65O,rate,ok,,315,315,TRUE,315,
CGBDU65O,level,ok,,315,315,TRUE,315,
CGDD65O,rate,ok,,314,314,TRUE,314,
CGDDU65O,level,ok,,314,314,TRUE,314,
HSGS65O,rate,ok,,315,315,TRUE,315,
HSGSU65O,level,ok,,315,315,TRUE,315,
LHSD65O,rate,ok,,315,315,TRUE,315,
LHSDU65O,level,ok,,315,315,TRUE,315,
CGMD65O,rate,ok,,315,315,TRUE,315,
CGMDU65O,level,ok,,315,315,TRUE,315,
CGBD65OM,rate,ok,,315,315,TRUE,315,
CGBDUM65O,level,ok,,315,315,TRUE,315,
CGDD65OM,rate,ok,,314,314,TRUE,314,
CGDDUM65O,level,ok,,314,314,TRUE,314,
HSGS65OM,rate,ok,,315,315,TRUE,315,
HSGSUM65O,level,ok,,315,315,TRUE,315,
LHSD65OM,rate,ok,,315,315,TRUE,315,
LHSDUM65O,level,ok,,315,315,TRUE,315,
CGMD65OM,rate,ok,,315,315,TRUE,315,
CGMDUM65O,level,ok,,315,315,TRUE,315,
CGPD65OM,rate,ok,,315,315,TRUE,315,
CGPDUM65O,level,ok,,315,315,TRUE,315,
SCAD65OM,rate,ok,,315,315,TRUE,315,
SCADUM65O,level,ok,,315,315,TRUE,315,
CGPD65O,rate,ok,,315,315,TRUE,315,
CGPDU65O,level,ok,,315,315,TRUE,315,
SCAD65O,rate,ok,,315,315,TRUE,315,
SCADU65O,level,ok,,315,315,TRUE,315,
LNU03075600,level,ok,,214,214,TRUE,214,
LNU04075600,rate,ok,,214,214,TRUE,214,
LNU03075379,level,ok,,214,214,TRUE,214,
LNU04075379,rate,ok,,214,214,TRUE,214,
LNU03000036,level,ok,,939,939,TRUE,939,
TOTLU2534,level,ok,,315,315,TRUE,315,
CGBD65OW,rate,ok,,315,315,TRUE,315,
CGBDUW65O,level,ok,,315,315,TRUE,315,
CGDD65OW,rate,ok,,281,281,TRUE,281,
CGDDUW65O,level,ok,,281,281,TRUE,281,
HSGS65OW,rate,ok,,315,315,TRUE,315,
HSGSUW65O,level,ok,,315,315,TRUE,315,
LHSD65OW,rate,ok,,315,315,TRUE,315,
LHSDUW65O,level,ok,,315,315,TRUE,315,
CGMD65OW,rate,ok,,315,315,TRUE,315,
CGMDUW65O,level,ok,,315,315,TRUE,315,
CGPD65OW,rate,ok,,312,312,TRUE,312,
CGPDUW65O,level,ok,,312,312,TRUE,312,
SCAD65OW,rate,ok,,315,315,TRUE,315,
SCADUW65O,level,ok,,315,315,TRUE,315,
TOTLUM2534,level,ok,,315,315,TRUE,315,
TOTLUW2534,level,ok,,315,315,TRUE,315,
CGBD1617,rate,ok,,283,283,TRUE,283,
CGBDU1617,level,ok,,283,283,TRUE,283,
HSGS1617,rate,ok,,315,315,TRUE,315,
HSGSU1617,level,ok,,315,315,TRUE,315,
LHSD1617,rate,ok,,315,315,TRUE,315,
LHSDU1617,level,ok,,315,315,TRUE,315,
CGMD1617,rate,ok,,205,205,TRUE,205,
CGMDU1617,level,ok,,205,205,TRUE,205,
TOTLU3544,level,ok,,315,315,TRUE,315,
TOTLUM3544,level,ok,,315,315,TRUE,315,
CGBD1617M,rate,ok,,225,225,TRUE,225,
CGBDUM1617,level,ok,,225,225,TRUE,225,
HSGS1617M,rate,ok,,315,315,TRUE,315,
HSGSUM1617,level,ok,,315,315,TRUE,315,
LHSD1617M,rate,ok,,315,315,TRUE,315,
LHSDUM1617,level,ok,,315,315,TRUE,315,
CGMD1617M,rate,ok,,205,205,TRUE,205,
CGMDUM1617,level,ok,,205,205,TRUE,205,
CGPD1617M,rate,ok,,173,173,TRUE,173,
CGPDUM1617,level,ok,,148,148,TRUE,148,
SCAD1617M,rate,ok,,295,295,TRUE,295,
SCADUM1617,level,ok,,295,295,TRUE,295,
CGPD1617,rate,ok,,173,173,TRUE,173,
CGPDU1617,level,ok,,148,148,TRUE,148,
SCAD1617,rate,ok,,313,313,TRUE,313,
SCADU1617,level,ok,,313,313,TRUE,313,
TOTLUW3544,level,ok,,315,315,TRUE,315,
TOTLU4554,level,ok,,315,315,TRUE,315,
CGBD1617W,rate,ok,,277,277,TRUE,277,
CGBDUW1617,level,ok,,277,277,TRUE,277,
HSGS1617W,rate,ok,,315,315,TRUE,315,
HSGSUW1617,level,ok,,315,315,TRUE,315,
LHSD1617W,rate,ok,,315,315,TRUE,315,
LHSDUW1617,level,ok,,315,315,TRUE,315,
SCAD1617W,rate,ok,,310,310,TRUE,310,
SCADUW1617,level,ok,,310,310,TRUE,310,
TOTLUM4554,level,ok,,315,315,TRUE,315,
TOTLUW4554,level,ok,,315,315,TRUE,315,
LNU03000018,level,ok,,651,651,TRUE,651,
LNU04000018,rate,ok,,651,651,TRUE,651,
CGMD1617W,rate,ok,,167,167,TRUE,167,
LNU03000021,level,ok,,598,598,TRUE,598,
LNU04000021,rate,ok,,598,598,TRUE,598,
CGMDLW1617,labor_force,ok,,289,289,TRUE,289,
LNU03000015,level,ok,,867,867,TRUE,867,
LNU04000015,rate,ok,,867,867,TRUE,867,
LNU03076955,level,ok,,214,214,TRUE,214,
LNU04076955,rate,ok,,214,214,TRUE,214,
